ID_ESCOLA,ID_LOCALIZACAO,ID_TURMA,ID_TURNO,ID_ALUNO,TX_RESP_BLOCO_2_MT,ESTRATO_ANEB,PESO_ALUNO_LP,'RESULTADO IDEB',CONDICAO
27044289,1,604389,2,17847837,ACCBDBAAACBDC,270915231,1.280.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604389,2,17847838,.............,270915231,?,4.8,'ABAIXO DA MEDIA'
27044289,1,604389,2,17847839,.............,270915231,?,4.8,'ABAIXO DA MEDIA'
27044289,1,604389,2,17847840,CACDCDBBDCDBD,270915231,1.280.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604389,2,17847841,DAAABBAABABCA,270915231,1.280.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604389,2,17847842,DDBADDCCBCCDC,270915231,1.280.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604389,2,17847843,DBDCBCAACCBCC,270915231,1.280.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604389,2,17847844,CACDDDACDBCAB,270915231,1.280.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604389,2,17847845,CACCCADDCADCB,270915231,1.280.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604389,2,17847846,.............,270915231,?,4.8,'ABAIXO DA MEDIA'
27044289,1,604389,2,17847847,.............,270915231,?,4.8,'ABAIXO DA MEDIA'
27044289,1,604389,2,17847848,DAABABBACBADD,270915231,1.280.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604389,2,17847849,BCABCBCDBCCDC,270915231,1.280.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604389,2,17847850,CDADBBADDDC*.,270915231,1.280.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604389,2,17847851,BABCBBACDCDCC,270915231,1.280.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604389,2,17847852,CABABCAAACCAD,270915231,1.280.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604389,2,17847853,ADDCCABADCBCA,270915231,1.280.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604389,2,17847854,CBCDCABADDACA,270915231,1.280.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604389,2,17847855,.............,270915231,?,4.8,'ABAIXO DA MEDIA'
27044289,1,604389,2,17847856,.............,270915231,?,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847857,BBCBCBDDBACAC,270915231,1.125.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847858,BAABACACCBABA,270915231,1.125.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847859,DDCACBCDBCACC,270915231,1.125.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847860,ACCDAACDADBAB,270915231,1.125.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847861,BAACBBAAABABC,270915231,1.125.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847862,ABCCDDBCCBBDA,270915231,1.125.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847863,CCBDBCBCBCCCA,270915231,1.125.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847864,.............,270915231,?,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847865,DCDADBBADCDBB,270915231,1.125.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847866,DACBCADCBBCCA,270915231,1.125.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847867,CBADDCBDACAAD,270915231,1.125.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847868,DBBDADAAACDCD,270915231,1.125.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847869,CBACACAACBBCD,270915231,1.125.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847870,.............,270915231,?,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847871,CAADBCBDADBDD,270915231,1.125.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847872,ADDDAABADCAAA,270915231,1.125.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847873,CDBDBCBDCAADC,270915231,1.125.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847874,CDCDDAAAAABAB,270915231,1.125.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847875,ADCCBCBACABDD,270915231,1.125.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847876,ADADDBCDDADCA,270915231,1.125.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847877,.............,270915231,?,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847878,BBDCDBACCACBC,270915231,1.125.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847879,ADCCADAAACBBA,270915231,1.125.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847880,ABACDABACCDBA,270915231,1.125.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847881,CDDDDBCDBDDCC,270915231,1.125.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847882,CAADBCDDCBDCC,270915231,1.125.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847883,AADCCDBACAABC,270915231,1.125.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847884,CBBDAAABDBABA,270915231,1.125.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847885,CBBCAACCCBACD,270915231,1.125.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847886,BCCBBBCDACBBB,270915231,1.125.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847887,DBCCDCACCBABC,270915231,1.125.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847888,.............,270915231,?,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847889,CAAACCCCDCCAC,270915231,1.125.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847890,ACBDCDADBCDAC,270915231,1.125.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847891,CCDADBADABDBD,270915231,1.125.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847892,CCADBAADCDADA,270915231,1.125.000.000.000.000,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847893,.............,270915231,?,4.8,'ABAIXO DA MEDIA'
27044289,1,604390,1,17847894,.............,270915231,?,4.8,'ABAIXO DA MEDIA'
27044297,1,604391,1,17847895,ABCDAAABABBAA,270915231,1.166.666.666.700.000,4.5,'ABAIXO DA MEDIA'
