ID_ESCOLA,ID_LOCALIZACAO,ID_ALUNO,TX_RESP_BLOCO_1_LP,TX_RESP_BLOCO_2_LP,TX_RESP_BLOCO_1_MT,TX_RESP_BLOCO_2_MT,ESTRATO_ANEB,PESO_ALUNO_MT,PROFICIENCIA_MT,DESVIO_PADRAO_MT,PROFICIENCIA_MT_SAEB,DESVIO_PADRAO_MT_SAEB,IN_PREENCHIMENTO_QUESTIONARIO,TX_RESP_Q005,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q012,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q038,TX_RESP_Q044,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,'CLASSIFICADOR IDEB'
27036065,1,17829414,BADCDCACAAA,DBCCBADBBDB,DADBCDADACB,DAAAAAAAADD,270430231,1.069.478.494,-0.246477,0.338218,236.188.208,18.903.791,1,D,C,B,B,A,B,A,A,A,A,A,A,A,'ACIMA DA M?DIA '
27036065,1,17829415,ADCDCCAACBA,BCADDCBCBBA,AACBAACBAAA,DDCCCDCDACA,270430231,1.069.478.494,-0.618386,0.363313,215.401.348,20.306.409,1,C,?,B,B,A,A,A,A,B,A,A,A,A,'ACIMA DA M?DIA '
27036065,1,17829416,DBBACDDBBCB,DCDDCBAADCA,DCCABCCCDDD,CDCBADDABBA,270430231,1.069.478.494,0.134842,0.363061,257.501.014,20.292.324,1,B,B,B,B,B,A,A,A,?,A,A,A,A,'ACIMA DA M?DIA '
27036065,1,17829417,BCDADDAADDC,DCCCBDBABCB,CDCDCADDACA,CCDABABABBB,270430231,1.069.478.494,-1.765.638,0.57196,151.278.763,31.968.176,1,D,A,C,A,A,A,A,B,B,A,A,B,B,'ACIMA DA M?DIA '
27036065,1,17829419,BCDDCBCDDCA,BDDCDAACBBD,ADABAACCBBA,BAABCDDDDAB,270430231,1.069.478.494,0.182751,0.320683,26.017.876,17.923.719,1,D,B,B,B,A,B,A,A,B,C,A,A,B,'ACIMA DA M?DIA '
27036065,1,17829420,CBBBCDAADCA,CBACADBAADA,DCABCDABBDB,ACABABBABCA,270430231,1.069.478.494,-0.241093,0.34192,236.489.132,19.110.705,1,B,B,B,B,B,B,A,A,B,A,A,A,B,'ACIMA DA M?DIA '
27036065,1,17829421,DBDCCBDAD*B,ACADABADADA,ACDBCCCCDDD,CCCBADCCCBD,270430231,1.069.478.494,-0.596315,0.517018,216.634.947,2.889.734,1,D,B,B,A,A,C,A,A,B,C,B,A,B,'ACIMA DA M?DIA '
27036065,1,17829422,BCCDABCABCA,DCABCACBACB,DDCADDCABBA,ADABAADAACA,270430231,1.069.478.494,-102.001,0.438185,192.953.648,2.449.118,1,B,B,B,A,A,A,A,A,B,C,B,A,B,'ACIMA DA M?DIA '
27036065,1,17829423,C*DDACAABBB,CDCACBCBABC,BCAAABABCCC,BDAAABCCBBB,270430231,1.069.478.494,-0.597634,0.354456,216.561.226,19.811.371,1,C,B,B,A,A,A,A,A,B,A,A,A,B,'ACIMA DA M?DIA '
27036065,1,17829424,ACCDABABBDC,BBDDDAACCAD,CCBBAADCCCB,CBADCCDDCCB,270430231,1.069.478.494,-0.0796,0.3337,245.515.352,1.865.127,1,C,B,B,?,A,A,A,A,B,A,B,A,B,'ACIMA DA M?DIA '
