@relation 'ALUNO ORD TOTAL. IDEB-EXCLUIDOS ALUNOS S RESP APSOCIOestevam'

@attribute TX_RESP_Q001 {A,B}
A,B,F,D,A,C,B,B,B,?,C,B,B,B,C,F,A,A,G,B,B,B,G,A,A,B,A,A,A,A,A,C,B,C,C,A,C,C,C,B,D,A,B,B,A,B,A,B,A,B,B,'ABAIXO DA M�DIA'
B,A,L,C,A,B,B,B,B,A,B,A,B,?,B,C,A,A,G,A,A,B,G,A,A,B,A,A,A,A,A,C,A,A,A,B,?,A,C,D,A,B,B,C,A,A,A,B,A,B,B,'ABAIXO DA M�DIA'
A,A,E,D,D,B,B,B,A,A,B,B,A,B,C,E,A,C,B,A,A,B,G,A,B,?,A,A,A,A,B,C,B,B,B,B,C,B,C,D,A,B,B,C,A,A,B,B,B,B,B,'ABAIXO DA M�DIA'
B,A,J,D,D,B,D,B,B,A,B,A,A,B,D,F,A,A,B,A,A,B,C,A,A,A,A,A,A,A,A,C,B,A,A,A,B,B,B,A,A,B,B,C,A,A,A,B,A,A,B,'ABAIXO DA M�DIA'
B,B,I,G,C,B,B,B,B,A,A,A,A,C,C,E,A,A,B,B,A,A,A,B,B,A,A,A,A,A,A,A,A,?,C,?,?,B,?,B,B,A,C,C,A,A,B,B,A,B,B,'ABAIXO DA M�DIA'
B,F,A,D,C,A,C,B,B,A,B,C,B,C,D,F,B,A,C,A,A,A,D,A,A,B,A,A,A,A,A,C,B,B,A,A,B,A,B,A,D,B,B,A,A,A,A,B,A,B,B,'ABAIXO DA M�DIA'
B,A,B,C,D,B,B,B,B,A,B,B,C,C,D,B,A,A,F,A,A,B,F,A,A,A,A,A,A,A,A,?,?,?,?,?,?,?,?,A,A,B,B,C,A,A,A,B,A,B,D,'ABAIXO DA M�DIA'
A,F,E,D,C,B,B,B,B,A,B,A,A,B,?,D,A,A,C,A,A,A,E,A,A,A,A,A,A,A,A,C,A,C,C,C,C,A,C,C,A,B,B,B,A,B,A,B,A,B,B,'ABAIXO DA M�DIA'
A,B,J,D,B,C,B,B,B,A,A,A,B,B,B,C,A,A,G,A,A,A,G,A,A,C,A,A,A,A,A,B,B,C,C,A,B,B,B,D,E,B,B,C,A,A,B,A,B,A,B,'ABAIXO DA M�DIA'
A,A,?,G,B,A,B,A,B,A,B,A,B,B,?,F,B,A,D,A,A,A,F,A,B,C,A,A,A,A,A,B,A,A,B,A,B,B,C,B,E,A,C,A,B,?,A,?,B,A,A,'ABAIXO DA M�DIA'
A,B,B,G,C,B,C,D,B,A,C,D,B,D,D,E,A,C,C,A,A,A,G,A,A,C,A,A,A,A,A,B,A,B,B,B,C,B,A,C,A,A,C,C,C,B,B,B,B,A,B,'ABAIXO DA M�DIA'
A,B,C,G,A,A,C,C,A,A,A,A,A,C,C,A,A,A,G,A,A,B,G,A,B,A,A,A,A,A,A,C,A,B,C,B,C,B,A,B,A,B,C,C,A,A,B,A,D,A,B,'ABAIXO DA M�DIA'
A,C,B,F,B,B,C,?,B,A,A,A,A,B,D,E,A,A,A,B,B,B,A,B,B,C,A,A,A,A,A,A,A,A,A,A,B,B,C,D,B,B,A,A,C,A,B,A,A,A,A,'ABAIXO DA M�DIA'
A,A,E,G,B,B,B,B,B,B,B,A,A,B,C,F,A,A,A,B,B,A,A,B,B,B,A,A,A,A,A,A,B,?,B,C,B,B,B,A,?,B,B,A,C,A,A,A,A,A,B,'ABAIXO DA M�DIA'
A,C,C,G,E,C,?,D,D,A,B,B,A,E,E,F,B,A,E,A,A,B,E,A,A,B,A,A,A,A,A,?,?,?,B,B,?,?,C,C,E,B,D,C,C,A,B,A,B,A,B,'ABAIXO DA M�DIA'
A,B,E,E,C,B,B,A,A,A,B,B,B,C,E,A,A,A,C,A,A,A,C,A,B,C,B,B,A,A,A,A,B,C,B,A,B,C,A,A,A,B,B,A,A,A,A,B,B,A,B,'ABAIXO DA M�DIA'
B,E,C,D,B,B,B,B,B,A,A,A,A,C,D,B,A,A,F,A,A,C,F,A,A,B,A,A,A,A,A,B,B,B,B,C,C,B,B,A,E,B,B,C,B,A,B,A,B,A,B,'ABAIXO DA M�DIA'
B,A,G,D,C,C,D,B,B,A,A,A,B,B,C,C,A,B,G,A,B,A,G,A,A,C,A,A,A,A,B,A,B,A,A,A,B,C,B,D,E,B,B,C,A,A,A,A,A,A,B,'ABAIXO DA M�DIA'
A,A,L,E,B,A,B,B,B,A,A,A,B,B,C,E,A,A,C,A,A,C,C,A,A,A,A,A,A,A,A,B,A,A,B,A,B,B,C,C,E,B,B,C,B,A,A,A,A,A,C,'ABAIXO DA M�DIA'
A,B,F,E,B,A,B,B,B,B,B,A,A,B,C,F,A,A,B,A,B,A,G,A,B,C,A,A,A,A,A,C,A,?,B,C,B,C,C,A,A,B,C,C,A,A,C,B,A,A,B,'ABAIXO DA M�DIA'
B,C,H,G,B,B,B,C,B,A,C,A,A,C,D,D,A,A,G,A,A,B,G,A,B,C,A,A,A,A,A,A,A,C,B,A,C,A,A,D,C,B,A,A,B,A,B,A,A,A,B,'ABAIXO DA M�DIA'
A,B,A,C,C,A,C,B,B,A,B,A,A,B,B,D,A,A,B,A,A,A,G,A,A,B,A,A,A,A,B,B,A,C,B,C,C,B,A,D,E,B,B,A,B,A,A,A,B,B,C,'ABAIXO DA M�DIA'
B,A,J,D,C,B,B,B,B,A,B,A,B,B,C,D,A,A,G,A,A,A,G,A,A,B,A,A,A,A,A,B,A,B,A,B,C,B,C,A,B,B,B,A,A,A,B,A,B,B,B,'ABAIXO DA M�DIA'
B,B,E,E,B,A,B,B,A,A,A,A,A,B,B,B,A,B,G,B,B,A,G,A,A,B,A,A,A,A,A,B,B,B,B,B,C,A,A,C,A,B,A,C,B,A,B,A,B,A,B,'ABAIXO DA M�DIA'
B,A,E,E,A,A,A,B,A,B,B,A,B,B,D,F,A,B,G,A,A,B,G,A,B,C,A,A,A,A,A,B,A,C,A,B,C,C,C,E,E,B,C,A,A,A,B,A,A,A,B,'ABAIXO DA M�DIA'
B,A,G,D,E,A,E,D,D,A,C,A,B,C,E,F,A,A,E,A,A,A,G,A,A,C,A,A,A,B,A,C,B,A,A,A,C,B,B,D,D,B,A,C,A,A,A,A,A,A,B,'ABAIXO DA M�DIA'
B,A,J,D,B,B,B,B,B,A,B,A,B,B,C,B,A,A,E,A,A,A,E,A,A,C,A,A,A,A,A,B,B,B,B,?,C,B,?,D,A,B,A,C,A,A,B,A,B,A,C,'ABAIXO DA M�DIA'
